Taxa,K129_Bl_Fr,K129_Bor,K129_Det,K129_Hyp,K129_Laub,K129_Oth,K232_Bl_Fr,K232_Bod,K232_Bor,K232_Det,K232_Fl,K232_Hyp,K232_Laub,K232_Oth,K232_Tot,K317_Det,K317_Hyp,K317_Laub,K317_Oth,K317_Tot,K439_Bl_Fr,K439_Bod,K439_Det,K439_Fl,K439_Hyp,K439_Laub,K439_Oth,K439_Tot,K455_Bl_Fr,K455_Bod,K455_Bor,K455_Fl,K517_Bl_Fr,K517_Bod,K517_Bor,K517_Det,K517_Fl,K517_Hyp,K517_Laub,K517_Tot,K592_Bl_Fr,K592_Bod,K592_Hyp,K592_Laub,K592_Oth,K592_Tot,K733_Bl_Fr,K733_Bod,K733_Bor,K733_Laub,K733_Tot,K770_Bl_Fr,K770_Bod,K770_Fl,K770_Hyp,K770_Laub,K770_Oth
Otu 1,1,0,121,382,19129,354,0,10264,32,348,183,24,45521,37,1,59,360,9644,366,9,0,1866,4,0,2,3,4,2,0,1800,6,3,15,2919,281,37,330,89,2756,9,0,9524,0,30110,58,0,26,325,756,6,278,2,11089,1872,596,13841,1690
Otu 2,0,0,13,2,57,2,37,5,50,5,83,67,22,11911,57641,1,0,749,3,27,125,3,0,18,67,3,135,86,7535,0,8,69,5860,0,452,207,2443,189,6028,1815,11,0,9,7,6,44,166,0,229,235,10690,19,0,1,0,209,0
Otu 3,31210,581,1,611,2,950,2239,9,822,27,1185,132,87,498,553,992,898,0,4368,1311,169,29,20,4547,144,29,68,310,789,61,583,4737,1844,18,771,70,2123,1381,3,2475,5086,1,3022,22,1165,5890,53,12,2901,60,537,1262,47,757,912,148,281
Otu 4,12,18,0,0,0,1,5,10,5245,55,6598,7248,0,7656,1024,0,3,0,3,59,13,59,5321,2128,3634,12,2742,6,17,0,1121,5,18,0,129,263,2826,12,0,8303,21,2,1336,0,9239,3339,8,7,1382,0,8,3159,0,7546,4049,1,4039
Otu 5,2449,31,8,3,19,1,3007,5,3,0,5856,63,529,917,101,8553,2636,738,351,48,8271,31,0,166,64,8,347,209,494,174,1351,17,1257,73,442,263,9561,1272,133,2360,3264,0,8,0,414,34,4551,3,221,1,2366,16,0,0,13,0,0
Otu 6,20,40,0,0,0,0,6,4,1915,27,2665,2155,0,2724,3552,3,7,0,2,17,35,32,3640,1639,2870,11,1883,38,14,1,1301,1,6,255,43,23,1025,9,0,2891,9,4,331,0,3354,8,21,6,6343,0,6,2177,1,5791,5285,0,3993
Otu 7,15,6112,0,1,5,804,773,17,456,7,102,24,850,40,39,265,139,3,1301,13317,5739,7,25,136,29,16,2111,60,4,19,1290,3220,1420,5,6541,54,9,1637,1,1742,500,5,29,2,4,7,423,4,64,3,42,9,3,3058,4,0,22
Otu 8,14692,6134,0,129,2,34,3908,4,0,0,4464,543,62,48,208,120,85,0,2225,37,265,7,1,317,557,746,983,128,857,16,47,1966,4691,7,236,43,1436,16,2,23,3,0,21,13,1027,7,20,0,31,0,637,3323,2,0,0,39,0
Otu 9,50,106,3,2154,1993,368,633,7,996,11,172,44,447,133,37,32,30,19,845,5398,42,15,23,419,43,15,5,26,19,5,28,57,7337,1,125,3,1519,51,14,74,4026,2,13,3,1001,25,1,0,17,4,2,1395,208,352,3,1,6982
Otu 10,9,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,20,0,44,0,0,0,0,0,0,0,0,0,0,0,0,589,1,28589,0,0,6047,0,0,0,0,66,1,1,0,0,0,0,0,0,0,0,0,0
Otu 11,2231,14,6621,32,1233,3,3140,16,0,0,10,10,387,21,162,7,967,578,14,41,7593,7,0,621,29,5,128,171,5,4,7,974,32,10,45,3378,298,54,28,51,3,21,6,1,34,4,22,0,95,6,42,813,17,3757,0,1,48
Otu 12,0,0,81,11,24,1,0,0,0,0,0,0,16,0,0,0,0,34472,12,0,0,10,9,13,9,2,1,0,1,0,0,0,0,7,0,12,0,13,621,0,0,1,0,0,0,0,0,3,0,213,1,0,0,17,0,4,0
Otu 13,514,317,8,1701,773,5596,581,0,119,1,402,12,171,617,451,3,2018,20,7,58,42,9,5,34,677,3,15,28,17,9,1,445,1347,2,82,14,4829,1221,15,12,3817,0,5,18,1492,29,1066,1,49,9,15,7,15,163,229,2,1
Otu 14,0,0,3,1,9,0,10,0,0,0,23,88,6,2471,6155,0,2,11,0,55,16,5,0,4,21,0,21,9,906,0,6,51,9902,0,4328,45,3447,35,1685,79,0,0,18,0,8,3,47,0,77,0,2244,12,0,0,0,1,0
Otu 15,0,0,120,22,7,8,0,30,0,0,7,0,8263,1,1,2,0,6828,9,2,0,9,10,433,339,1348,14,0,14,1,1,1,0,2,0,3,6,4,7209,0,3,447,0,1,8,1,0,306,0,991,2,0,858,101,2,596,7
Otu 16,4,9,0,0,0,0,2,205,0,0,88,2888,0,81,0,1,0,0,0,3,0,28,0,426,1319,0,1711,2,3,4,2574,655,8,0,0,28,4263,2684,5,0,4,5,481,0,5141,3,41,0,29,0,68,15,500,6,0,0,4
Otu 17,0,0,6597,16,21,5,0,2,1,1,0,0,2,0,0,11,2,4672,41,1,0,1192,1090,0,0,0,3,0,1,2,0,1,0,635,0,893,30,66,6082,0,0,1,0,0,28,0,2,290,5,525,22,0,0,3,21,0,0
Otu 18,3431,37,0,0,3,0,2084,0,26,2,39,19,101,66,111,3,1110,201,6,195,711,1,10,1129,2031,0,253,148,4,13,11,4,872,2,4093,0,343,0,2,153,3,0,6,0,1348,6,2,0,1,1,0,2027,0,2,0,0,0
Otu 19,0,0,80,5,33,0,0,88,0,0,0,0,0,0,0,38,3,62,8,0,0,1004,0,0,0,572,2,1,0,442,1,4,0,526,0,0,33,1,21529,0,0,2,0,1,59,0,0,0,0,0,3,0,0,2,0,0,3
Otu 20,0,4,2,1108,14,787,1107,2,15,0,1,3,3,13,86,7976,706,340,1331,36,1729,7,1,1360,0,4,3,158,4,27,25,826,11,30,4,37,5,813,375,7,256,2,10,14,599,7,11,1,33,1,343,1018,26,69,204,54,1
Otu 21,1,6,7,1296,14,0,2030,0,0,0,8,70,2,3,86,5,1750,5,1445,3,140,0,1,394,30,169,7,6578,1577,25,0,0,0,4,2,10,2,21,246,1,1870,0,3,0,161,47,2881,0,27,1,11,51,13,0,0,1,0
