"Phylum","Class","Subclass","Order","Family","Subfamily","Tribus","Genus","Species","Subspecies","Taxa"
"Arthropoda","","","","","","","","","","Arthropoda"
"Arthropoda","","","Odonata","","","","","","","Odonata"
"Arthropoda","","","Odonata","","","","","Otu 1","","Otu 1"
"Arthropoda","","","Odonata","","","","","Otu 2","","Otu 2"
"Arthropoda","","","Odonata","","","","","Otu 3","","Otu 3"
"Arthropoda","","","Odonata","","","","","Otu 4","","Otu 4"
"Arthropoda","","","Odonata","","","","","Otu 5","","Otu 5"
"Arthropoda","","","Odonata","","","","","Otu 6","","Otu 6"
"Arthropoda","","","Odonata","","","","","Otu 7","","Otu 7"
"Arthropoda","","","Odonata","","","","","Otu 8","","Otu 8"
"Arthropoda","","","Odonata","","","","","Otu 9","","Otu 9"
"Arthropoda","","","Odonata","","","","","Otu 10","","Otu 10"
"Arthropoda","","","Odonata","","","","","Otu 11","","Otu 11"
"Arthropoda","","","Odonata","","","","","Otu 12","","Otu 12"
"Arthropoda","","","Odonata","","","","","Otu 13","","Otu 13"
"Arthropoda","","","Odonata","","","","","Otu 14","","Otu 14"
"Arthropoda","","","Odonata","","","","","Otu 15","","Otu 15"
"Arthropoda","","","Odonata","","","","","Otu 16","","Otu 16"
"Arthropoda","","","Odonata","","","","","Otu 17","","Otu 17"
"Arthropoda","","","Odonata","","","","","Otu 18","","Otu 18"
"Arthropoda","","","Odonata","","","","","Otu 19","","Otu 19"
"Arthropoda","","","Odonata","","","","","Otu 20","","Otu 20"
"Arthropoda","","","Odonata","","","","","Otu 21","","Otu 21"
"Arthropoda","","","Odonata","","","","","Otu 22","","Otu 22"
"Arthropoda","","","Odonata","","","","","Otu 23","","Otu 23"
"Arthropoda","","","Odonata","","","","","Otu 24","","Otu 24"
"Arthropoda","","","Odonata","","","","","Otu 25","","Otu 25"
"Arthropoda","","","Odonata","","","","","Otu 26","","Otu 26"
"Arthropoda","","","Odonata","","","","","Otu 27","","Otu 27"
"Arthropoda","","","Odonata","","","","","Otu 28","","Otu 28"
"Arthropoda","","","Odonata","","","","","Otu 29","","Otu 29"
"Arthropoda","","","Odonata","","","","","Otu 30","","Otu 30"
"Arthropoda","","","Odonata","","","","","Otu 31","","Otu 31"
"Arthropoda","","","Odonata","","","","","Otu 32","","Otu 32"
"Arthropoda","","","Odonata","","","","","Otu 33","","Otu 33"
"Arthropoda","","","Odonata","","","","","Otu 34","","Otu 34"
"Arthropoda","","","Odonata","","","","","Otu 35","","Otu 35"
"Arthropoda","","","Odonata","","","","","Otu 36","","Otu 36"
"Arthropoda","","","Odonata","","","","","Otu 37","","Otu 37"
"Arthropoda","","","Odonata","","","","","Otu 38","","Otu 38"
"Arthropoda","","","Odonata","","","","","Otu 39","","Otu 39"
"Arthropoda","","","Odonata","","","","","Otu 40","","Otu 40"
"Arthropoda","","","Odonata","","","","","Otu 41","","Otu 41"
"Arthropoda","","","Odonata","","","","","Otu 42","","Otu 42"
"Arthropoda","","","Odonata","","","","","Otu 43","","Otu 43"
"Arthropoda","","","Odonata","","","","","Otu 44","","Otu 44"
"Arthropoda","","","Odonata","","","","","Otu 45","","Otu 45"
"Arthropoda","","","Odonata","","","","","Otu 46","","Otu 46"
"Arthropoda","","","Odonata","","","","","Otu 47","","Otu 47"
"Arthropoda","","","Odonata","","","","","Otu 48","","Otu 48"
"Arthropoda","","","Odonata","","","","","Otu 49","","Otu 49"
"Arthropoda","","","Odonata","","","","","Otu 50","","Otu 50"
"Arthropoda","","","Odonata","","","","","Otu 51","","Otu 51"
"Arthropoda","","","Odonata","","","","","Otu 52","","Otu 52"
"Arthropoda","","","Odonata","","","","","Otu 53","","Otu 53"
"Arthropoda","","","Odonata","","","","","Otu 54","","Otu 54"
"Arthropoda","","","Odonata","","","","","Otu 55","","Otu 55"
"Arthropoda","","","Odonata","","","","","Otu 56","","Otu 56"
"Arthropoda","","","Odonata","","","","","Otu 57","","Otu 57"
"Arthropoda","","","Odonata","","","","","Otu 58","","Otu 58"
"Arthropoda","","","Odonata","","","","","Otu 59","","Otu 59"
"Arthropoda","","","Odonata","","","","","Otu 60","","Otu 60"
"Arthropoda","","","Odonata","","","","","Otu 61","","Otu 61"
"Arthropoda","","","Odonata","","","","","Otu 62","","Otu 62"
"Arthropoda","","","Odonata","","","","","Otu 63","","Otu 63"
"Arthropoda","","","Odonata","","","","","Otu 64","","Otu 64"
"Arthropoda","","","Odonata","","","","","Otu 65","","Otu 65"
